name,email,dob,gender,contact,address,religion,community,minorityStatus,residentialStatus,admissionQuota,country,course,department,yearOfAdmission,Semester 1,Semester 2,Semester 3,Semester 4,Semester 5,Semester 6,Semester 7,Semester 8
Laura Hall,gary51@hotmail.com,2007-11-24,Male,7810727271,"PSC 8552, Box 2537, APO AP 21031",Sikh,ST,Minority,Hosteller,Government,International,B.E,Biotechnology,2020,A+,B,,,B,A+,A+,B
Ronald Baker,kwyatt@campbell.net,2001-05-09,Male,1343871062,"50908 Matthew Locks, South Andrew, ME 26417",Hindu,BC,Non-Minority,Day Scholar,7.5 Reservation,International,B.E,Information Technology,2020,A+,O,B+,A+,O,A,B,O
Kimberly Martinez,garrett95@wilson.com,2001-07-21,Male,7334398489,"1451 Barnett Corners Suite 708, Daviesfurt, TX 59486",Christian,MBC,Non-Minority,Hosteller,7.5 Reservation,International,B.Tech,Electrical Engineering,2022,B+,,C,A+,C,,C,A
Joanna Evans,katherine66@brown.com,2004-07-22,Male,3638554620,"9828 Timothy Light Apt. 317, New Juliaside, NE 07436",Christian,SC,Non-Minority,Hosteller,7.5 Reservation,Domestic,B.E,AIML,2022,O,B,A+,B+,A+,B,O,C
Jerry Villegas,anthony96@lyons-shields.com,2005-06-20,Female,0910778104,"433 Hannah Mountains, West Suzanne, IL 05081",Sikh,BC,Non-Minority,Day Scholar,Management,International,B.E,Electrical Engineering,2023,O,B,A,C,A+,,C,A
Joanne Davis,romanashlee@yahoo.com,2007-10-11,Female,2098055104,"PSC 3281, Box 6224, APO AA 90461",Christian,MBC,Non-Minority,Hosteller,Sports,Domestic,B.Tech,AIML,2020,A,,A,A,A+,A,C,O
Alice Mcdonald,russelladam@smith.biz,2001-05-21,Female,3186873502,"892 Sullivan Cove, Ryanville, MS 50150",Jain,ST,Minority,Day Scholar,Government,Domestic,B.Tech,Electrical Engineering,2020,C,O,A+,B+,O,B+,B,B+
David Powell,erin57@smith-heath.com,2000-12-08,Female,4850007347,"13963 Jones Hills, East Feliciafort, ND 32152",Jain,BC,Minority,Day Scholar,Management,Domestic,B.Tech,Food Technology,2023,A+,O,C,A+,B,C,B+,
Tracey Hampton,sheilacastillo@bell-coleman.com,2003-06-06,Female,9159105848,"39978 Sanchez Ridges Apt. 429, Lake Katelynchester, IN 74463",Hindu,SC,Non-Minority,Hosteller,Government,International,B.E,Food Technology,2022,C,B,B,A+,B,B,O,C
Kelly Myers,hansenjulia@parker-wilson.com,2004-10-27,Male,4284064501,"0641 Lawson Loop Suite 992, Housetown, HI 77240",Jain,ST,Minority,Hosteller,Sports,International,B.Tech,Information Science and Engineering,2021,A,A,B,B+,B,O,O,
Stephen Snyder,gomezdonna@wilkerson.com,2004-02-01,Female,8368090229,"57939 Taylor River, Christinefort, TX 23308",Muslim,ST,Non-Minority,Day Scholar,Sports,International,B.Tech,Food Technology,2021,,B+,,B+,B+,B,A+,
William Wilson,tim76@jones.com,2007-06-14,Female,3781428249,"230 Marissa Village, Katherinefort, NE 29143",Christian,OBC,Minority,Day Scholar,Management,International,B.E,AIML,2024,O,A,,O,,O,,B
Edward Walters,joycekyle@jones.com,2007-02-04,Male,6942110121,"11230 John Forges, Rossville, MT 06097",Christian,BC,Non-Minority,Hosteller,Management,International,B.E,Information Technology,2022,A+,O,,C,C,C,C,B
Tiffany Campbell,fcannon@yahoo.com,1999-06-30,Male,4752022129,"75057 Snyder Isle, East Tracyberg, ND 98351",Muslim,SC,Minority,Hosteller,7.5 Reservation,Domestic,B.Tech,AIML,2022,C,,A+,B,B+,,C,B
Kathryn Kramer,richard63@nelson.org,2007-04-05,Male,5921995117,"6177 Thomas Cape Apt. 215, Randallfort, CA 10962",Jain,OBC,Minority,Day Scholar,7.5 Reservation,Domestic,B.E,Fashion Technology,2024,A+,O,A+,B+,,B+,O,A
Jason Harris,williamscharles@kennedy.com,2003-08-16,Male,3680503371,"Unit 7262 Box 1213, DPO AP 78078",Muslim,SC,Minority,Day Scholar,7.5 Reservation,International,B.E,Information Science and Engineering,2024,A+,A,A+,B,A,A,O,B+
Lisa Gordon,cheryl30@montes.net,2006-08-15,Male,1866866994,"055 Jones Valley, New Victoria, NY 35165",Jain,BC,Non-Minority,Hosteller,Management,International,B.E,Food Technology,2022,B,O,A+,B,B,,A+,O
Michelle Owens,redwards@hotmail.com,2005-03-11,Female,3765436463,"882 Williams Coves, Jessicaburgh, WV 88284",Jain,ST,Minority,Day Scholar,Government,Domestic,B.E,Computer Science,2020,C,B,A,B+,O,B+,O,B+
Jennifer Schultz,williamsonsamantha@gmail.com,2001-04-25,Male,2973367889,"0426 Bullock Stravenue, Bradstad, ID 15698",Muslim,SC,Non-Minority,Hosteller,Government,International,B.Tech,AIML,2022,,C,A,A+,,,,A
Margaret Contreras,lisa60@hotmail.com,2004-11-13,Male,4298286608,"2056 Walter Crossing, East Evelynfort, AK 34319",Sikh,SC,Minority,Day Scholar,Government,International,B.E,Computer Science,2020,,O,C,A,B,B,A,O
Shelby Johnson,perezadam@hotmail.com,2004-06-30,Male,2227727852,"64315 Kevin Mountain, North Andrea, VT 37871",Hindu,MBC,Minority,Hosteller,Sports,Domestic,B.Tech,AIML,2020,O,A+,C,,,B+,C,A
Jeff Smith,tracyjohnson@peterson.net,2003-09-26,Female,5179238440,"500 Grant Mountains Suite 465, West Timothy, WA 93612",Jain,OBC,Minority,Day Scholar,Sports,International,B.E,Information Science and Engineering,2020,C,C,B,B+,B+,B+,A,A+
Scott Peck,simmonsmichelle@lee-le.net,1999-05-27,Female,5848486441,"1283 Luis Locks Suite 774, Lake Kelly, FL 68538",Muslim,OBC,Minority,Hosteller,Management,International,B.Tech,AIML,2022,B,A+,A+,B+,A,C,A+,
Pamela Roberts,gordon05@hotmail.com,2000-12-07,Female,2547796119,"PSC 2691, Box 2883, APO AA 07262",Hindu,ST,Non-Minority,Day Scholar,Government,Domestic,B.E,Computer Science,2023,,O,A,C,,A+,A+,O
Matthew Roth,collierjaime@small.com,2001-04-20,Female,7356041465,"7788 Coleman Wall Apt. 527, East Jeffrey, MI 33286",Christian,ST,Minority,Day Scholar,Sports,International,B.E,AIML,2022,C,B+,A,B,A,B+,B,C
Tracy Morrow,andersonjoel@hughes.net,2004-08-30,Male,8569956909,"4770 Adam Road Apt. 693, Dianaville, IN 13381",Christian,MBC,Non-Minority,Hosteller,Management,International,B.E,Fashion Technology,2022,A+,B+,A,A,C,A,,A+
Michael Garza,kenneth34@gmail.com,2005-05-22,Female,9185458615,"75202 Brian Village, Sandersport, IN 14711",Sikh,MBC,Non-Minority,Day Scholar,Government,Domestic,B.E,Mechanical Engineering,2022,O,,B,A+,,A,A,
Kevin Fitzgerald,hancockaaron@yahoo.com,2008-02-16,Female,9003888873,"PSC 8885, Box 1545, APO AA 61679",Hindu,BC,Non-Minority,Hosteller,Management,International,B.Tech,Information Science and Engineering,2020,A,A,O,,A+,B+,C,B+
Shawn Hernandez,wendy90@gmail.com,2004-10-02,Female,3758834696,"848 Silva Loaf Suite 297, East Garychester, MS 41840",Christian,MBC,Non-Minority,Day Scholar,Management,Domestic,B.Tech,Electrical Engineering,2022,A,O,B+,B+,B+,A,C,B+
Johnny Johnson,lbaker@gmail.com,2007-10-02,Male,8235039778,"68786 Zachary Mountain, Gilbertbury, AZ 26633",Hindu,SC,Minority,Day Scholar,Management,Domestic,B.Tech,Computer Science,2022,A,,C,O,,O,,A+
Anthony Anderson,urichardson@gmail.com,2003-03-31,Female,0809690516,"5332 Murphy Mountains, North Jaclyn, NH 82485",Christian,BC,Minority,Day Scholar,7.5 Reservation,Domestic,B.E,Computer Science,2022,,A,,O,,B,A+,B
Stacy Riggs,pricejason@anderson-young.com,2001-12-28,Female,5603427182,"112 Melinda Squares Suite 494, Hobbsside, MA 87367",Sikh,MBC,Minority,Day Scholar,Sports,Domestic,B.Tech,Mechanical Engineering,2024,B,C,A+,A,B,O,B+,O
Ellen Floyd,tpowers@yahoo.com,2004-07-29,Female,8919558641,"514 Brock Common Apt. 559, Seanton, ND 67236",Hindu,OBC,Non-Minority,Hosteller,Sports,Domestic,B.Tech,Fashion Technology,2020,,B+,B,,,C,C,O
Jennifer Wolfe,bonilladaniel@williams.biz,2001-11-24,Female,8821761321,"0763 Mckee Haven, Thomasport, MA 68103",Jain,MBC,Non-Minority,Day Scholar,Management,International,B.E,Computer Science,2021,,,B,,B+,A+,B,C
Gabriella Harris,moorejonathan@yahoo.com,2002-03-17,Female,5423392256,"PSC 5393, Box 6225, APO AE 93727",Hindu,MBC,Minority,Hosteller,Management,International,B.E,Computer Science,2024,C,,A+,,B,A,,C
Matthew Graves,lmartinez@schroeder.com,2000-04-06,Male,2314135977,"PSC 4386, Box 8805, APO AP 84901",Muslim,BC,Minority,Hosteller,Management,Domestic,B.E,Information Technology,2022,A,O,,C,B,A+,C,A
Austin Williams,qadkins@yahoo.com,2001-04-12,Male,1986617522,"994 Christian Junctions, Port Sherri, SC 23683",Muslim,MBC,Non-Minority,Hosteller,7.5 Reservation,International,B.E,Mechanical Engineering,2020,O,O,B,O,,B,B,A+
Lori Silva,rachel47@davis.com,1999-05-08,Male,5236948235,"43986 Kelly Bridge Apt. 197, New Jaimestad, VT 26485",Sikh,SC,Non-Minority,Hosteller,Sports,International,B.Tech,Computer Science,2023,C,O,B+,O,A,C,C,A+
Zachary Jones,bryannicholson@hotmail.com,2004-06-17,Female,1203802101,"4724 Lewis Corner Suite 512, North William, OK 74697",Muslim,ST,Minority,Day Scholar,Management,Domestic,B.E,Information Technology,2020,A+,B+,C,B,O,A,B+,B+
Kayla Callahan,romerojames@martin.net,2000-10-21,Male,7026604491,"520 Leach Tunnel Apt. 329, West Angela, CA 39749",Jain,ST,Minority,Hosteller,7.5 Reservation,International,B.E,Mechanical Engineering,2020,B+,B,,O,,,A,
Melissa Freeman,paul03@bailey.net,1999-10-24,Female,1202383787,"066 Sarah Spur, North Olivia, NE 07062",Muslim,ST,Minority,Day Scholar,Government,International,B.E,Electrical Engineering,2024,O,A,O,,C,C,O,A+
Ariana Sanchez,troysimon@hotmail.com,2002-04-13,Female,0399375160,"86463 Vincent Divide, South Nicholas, WY 58758",Christian,BC,Minority,Day Scholar,Sports,Domestic,B.Tech,Information Science and Engineering,2021,A+,O,C,O,,,B+,A
Walter Weaver,erin43@rosales.info,2002-05-03,Male,0405368256,"554 Luis Alley, Port Rachelside, CA 14748",Christian,MBC,Non-Minority,Day Scholar,Sports,Domestic,B.Tech,Mechanical Engineering,2020,B,A,B,B+,B+,A+,A,
Shelly Watts,jasonhernandez@hotmail.com,2008-02-25,Male,9907916296,"32691 Cindy Points, Kimberlyshire, MT 52878",Sikh,ST,Non-Minority,Hosteller,7.5 Reservation,International,B.Tech,Information Technology,2021,O,O,A,A,A+,B+,O,B
Henry Jones,leslie74@phillips.com,2002-10-21,Male,1323496046,"9640 April Lodge, Yoderhaven, LA 47920",Jain,OBC,Minority,Hosteller,Government,International,B.E,Food Technology,2020,B+,B,A,,B,A,A,B+
Douglas English,sandovalsarah@gmail.com,1999-09-11,Male,6223201318,"0032 Lisa Divide Apt. 006, Ashleystad, MA 81842",Jain,ST,Non-Minority,Day Scholar,Government,Domestic,B.E,Mechanical Engineering,2022,O,B+,C,B,,B+,,A+
Richard Newton,victoria86@yahoo.com,2004-08-01,Female,4873256550,"1391 Alexander Estate, North Mathewburgh, CT 98588",Muslim,BC,Minority,Hosteller,Management,Domestic,B.E,Electrical Engineering,2024,C,,,A,A+,B,A,B+
Morgan Brown,teresahaynes@hotmail.com,1999-08-05,Male,0593123754,"PSC 9283, Box 0571, APO AE 49052",Jain,SC,Non-Minority,Hosteller,Government,Domestic,B.Tech,Artificial Intelligence,2020,O,C,B,,B,B,O,B+
Jeremy Dudley,jonesjoshua@ramirez.com,2005-11-14,Male,0848360398,"USCGC Underwood, FPO AP 35594",Hindu,MBC,Minority,Hosteller,Government,International,B.Tech,Information Technology,2020,B+,B+,O,B,A+,,O,C
Donna Spence,jamie24@gmail.com,2001-01-21,Female,1624081360,"6654 Bradley Shoal, New Sheliaside, AZ 31874",Sikh,OBC,Non-Minority,Day Scholar,7.5 Reservation,International,B.Tech,Mechanical Engineering,2020,C,C,C,C,C,A+,B,A+
Karina Archer,jenny73@yahoo.com,1999-05-25,Male,1971006843,"9473 Garcia Well, Bridgetton, VA 11432",Hindu,OBC,Minority,Hosteller,Sports,International,B.Tech,Electrical Engineering,2020,O,B,A,C,A+,B,B+,
Michael Davenport,jimmysanchez@yahoo.com,2001-09-07,Female,5092461087,"357 Taylor Crossroad Suite 052, East Kristen, MO 67802",Jain,SC,Non-Minority,Day Scholar,Sports,International,B.Tech,Information Science and Engineering,2024,B+,,C,A,B,,B+,A
Sharon Warner,michaelvillanueva@gmail.com,2006-04-20,Male,6288616806,"658 Matthew Pine, South Dominiqueton, MD 88744",Christian,SC,Non-Minority,Hosteller,Government,Domestic,B.Tech,Biotechnology,2022,B,B,O,C,B+,A,B+,
Brandi Foster,amanda05@hotmail.com,2006-01-16,Female,0579614015,"463 James Loop, Port Patrick, CT 86660",Christian,MBC,Minority,Day Scholar,7.5 Reservation,Domestic,B.E,Information Science and Engineering,2023,A,B,B+,A,B,,B+,B
Danny Wells,cdonovan@hotmail.com,2001-03-14,Male,4655112102,"040 Sarah Groves Apt. 078, Lake Robert, ME 24425",Sikh,MBC,Non-Minority,Hosteller,Management,International,B.Tech,AIML,2020,,B+,A,O,B+,A+,O,A
Timothy Castillo,daniel41@hotmail.com,2005-12-16,Male,8494902084,"Unit 5919 Box 3721, DPO AP 15621",Muslim,BC,Minority,Day Scholar,Management,Domestic,B.E,Biotechnology,2024,A,B+,B,A,O,,A+,A+
Richard Morales,suttonmax@fisher.biz,2006-09-06,Female,3280088089,"785 Delgado Gardens, East Sandraview, ID 47308",Hindu,MBC,Minority,Day Scholar,Management,International,B.E,Fashion Technology,2020,A+,A,B,B+,C,B+,A,A+
Alexa Savage,andrew12@boyd.com,2004-09-26,Female,7854763885,"11169 Anderson Ferry, Elaineton, AL 77235",Christian,BC,Minority,Day Scholar,7.5 Reservation,Domestic,B.E,Artificial Intelligence,2023,O,,B,A,,C,A+,O
Robert Miller,petersonjeffrey@hotmail.com,2003-08-13,Male,1586483088,"6984 Kimberly Shoal Suite 503, Wilsonland, UT 15082",Christian,OBC,Non-Minority,Day Scholar,7.5 Reservation,International,B.E,Information Science and Engineering,2023,O,O,C,B,B,O,B,A
Jeremy Richards,stephenjimenez@gmail.com,2002-05-29,Male,5603044277,"07208 Karen Spur, Danielborough, AK 61968",Muslim,MBC,Non-Minority,Day Scholar,Government,Domestic,B.Tech,Biotechnology,2020,,O,B+,,B,C,C,
John Stewart,tesparza@krueger-larson.com,2002-11-08,Female,6366804997,"65882 Walter Parks Apt. 106, South Michealbury, VT 84714",Muslim,ST,Non-Minority,Hosteller,Sports,International,B.E,Mechanical Engineering,2024,B,B+,C,B,B,,B,A
Ryan Goodwin,ihodges@gmail.com,2002-02-12,Male,4599543260,"6315 Chase Camp Apt. 886, Lake Daleside, NE 07252",Hindu,SC,Non-Minority,Hosteller,Government,International,B.Tech,Mechanical Engineering,2021,A,C,O,B+,O,B+,B+,B+
Steve Wells,abray@peterson.com,2003-04-11,Male,4537901596,"303 Kevin Streets Apt. 484, South Josephton, GA 85004",Sikh,BC,Non-Minority,Day Scholar,Management,International,B.E,Information Technology,2024,C,A+,A,B+,C,A+,A,B
Shane Burton,philipturner@yahoo.com,2008-03-28,Male,7277511044,"9651 Cobb Garden, Brycetown, TN 87664",Sikh,ST,Minority,Day Scholar,Sports,Domestic,B.E,Information Technology,2022,O,B,C,,A,A,A,A
Natalie Tucker,carol82@castro.org,2002-10-08,Female,3700185397,"0846 Sharon Prairie, Baxterton, WI 61396",Jain,SC,Minority,Hosteller,Government,International,B.Tech,Electrical Engineering,2023,,O,A,A+,C,C,B,B+
Renee Lyons,twoods@hughes-roth.com,2001-07-22,Male,4622172235,"9932 Tate Court Suite 858, Clarkside, WI 27138",Christian,SC,Non-Minority,Hosteller,7.5 Reservation,International,B.E,Fashion Technology,2021,C,C,B,C,A+,A+,B,A
Frederick Eaton,christopherboone@gmail.com,2005-09-19,Male,1986695394,"9785 Young Fort Apt. 856, Lake Melanie, GA 06312",Christian,ST,Non-Minority,Day Scholar,Government,International,B.E,Information Technology,2023,O,C,C,C,B+,A,A+,A+
Melinda Ramsey,christopher79@yahoo.com,2002-09-11,Male,0686715889,"72761 Rodriguez Square, Port Melissafurt, PA 26664",Jain,SC,Non-Minority,Hosteller,Government,Domestic,B.Tech,Artificial Intelligence,2021,A,,B,A,A+,B,C,A
Susan Bernard,gshelton@gmail.com,2001-12-20,Female,0407068532,"106 Martinez Squares, Richardport, CO 90721",Jain,MBC,Minority,Day Scholar,Management,International,B.Tech,Information Technology,2021,A,O,A+,B+,B,,,C
Andrea Alexander,ilindsey@elliott-burke.com,1999-09-22,Female,4473807023,"77050 Diaz Isle, Robertsmouth, IL 67919",Hindu,OBC,Non-Minority,Day Scholar,7.5 Reservation,International,B.Tech,AIML,2023,A,B+,B+,B,O,B,A,O
Melissa Wilson,edwardpayne@johnson.biz,2004-04-30,Male,0794206312,"2331 Daniel Harbor, West Roberto, DE 41345",Hindu,OBC,Minority,Day Scholar,Government,International,B.E,Computer Science,2024,B,B+,B,,O,B,O,C
Michael Rogers,carmen37@hotmail.com,2006-03-13,Female,8772120730,"4638 Turner Junction Suite 914, South Jasonhaven, RI 71929",Muslim,MBC,Non-Minority,Hosteller,7.5 Reservation,Domestic,B.Tech,Artificial Intelligence,2024,B+,B+,A+,B,O,O,B,O
Kristy Ray,kayla32@brown-roberts.com,2007-07-04,Male,9968991420,"21775 Jennings Land Apt. 643, Lake Darryltown, MS 94312",Jain,SC,Minority,Hosteller,Government,Domestic,B.E,Food Technology,2024,C,B+,A+,A,C,B,C,C
Michael Sampson,james50@yahoo.com,2007-05-30,Male,7217952128,"PSC 1272, Box 8362, APO AE 51508",Sikh,ST,Minority,Hosteller,Management,International,B.Tech,Information Technology,2020,A+,A+,C,C,,A+,A,A+
Kimberly Richardson,qjohnson@gmail.com,2003-04-18,Male,6665562110,"783 Tapia Via, New Cynthiaside, DC 92336",Muslim,ST,Non-Minority,Day Scholar,7.5 Reservation,International,B.E,Information Technology,2024,A,C,A,O,C,B,C,
John Griffin,nancy99@jacobson.info,2001-05-10,Female,8519624173,"PSC 8071, Box 0689, APO AE 87751",Muslim,ST,Non-Minority,Hosteller,Sports,Domestic,B.Tech,Electrical Engineering,2023,A,B+,O,A+,A+,O,,A
Christina Reilly,kevinchavez@yahoo.com,2003-08-11,Female,1061772736,"85565 Bates Motorway, Markfort, NJ 51733",Jain,SC,Non-Minority,Day Scholar,7.5 Reservation,Domestic,B.E,Biotechnology,2021,B+,A,O,A+,B,B,B,B
Sabrina Walter,dawn28@mills.com,2002-01-21,Female,9309477139,"226 Salazar Mill, Mariastad, CO 35276",Hindu,ST,Minority,Day Scholar,Government,International,B.E,Fashion Technology,2023,O,B,O,B,C,O,A,O
Charles Gonzalez,jamie20@hotmail.com,2007-01-19,Female,3425011502,"07055 Jeffrey Station Apt. 338, West Melissaborough, TX 65530",Christian,SC,Non-Minority,Hosteller,Management,Domestic,B.Tech,Information Technology,2022,B+,A+,,A,B,B+,A,B+
Megan Rodriguez,gonzalezrebecca@lucas-lewis.com,2001-10-14,Male,7521222509,"991 Clark Lane Suite 600, South Dawn, OR 27757",Muslim,MBC,Non-Minority,Day Scholar,Government,Domestic,B.E,Computer Science,2022,A,B+,O,A,C,O,A,A
Tiffany Clark,martinmario@whitaker.org,2007-04-10,Female,7693103785,"9763 Miguel Harbors, Cynthiachester, VA 33939",Hindu,ST,Minority,Hosteller,7.5 Reservation,International,B.Tech,Food Technology,2022,B+,A+,O,B+,B+,B,C,A+
Michaela Hayes,kevin56@johnson-henry.com,2001-06-15,Female,7956389377,"USNS Evans, FPO AE 48864",Christian,SC,Minority,Hosteller,Sports,International,B.Tech,Food Technology,2024,B,,B,B+,C,A,O,A+
Matthew Franco,hodgecynthia@marks.com,2004-01-09,Female,4498522645,"898 Oscar Crossroad, New Kyleland, PA 83389",Hindu,BC,Minority,Day Scholar,Management,Domestic,B.Tech,Information Technology,2021,B+,,A,,B,O,A+,B
